lane_file,opportunity_id,source_id,quality_status,quality_flags,status
jobs_board_staging.csv,ad0d08994f3f1226,karriere-at,ready,,Open
jobs_board_staging.csv,3076d1764e2e8f0a,karriere-at,ready,,Open
jobs_board_staging.csv,34965031be582889,karriere-at,ready,,Open
jobs_board_staging.csv,9e134114be50365a,karriere-at,ready,,Open
jobs_board_staging.csv,78eef1f55291ccef,karriere-at,ready,,Open
jobs_board_staging.csv,5684b5d37b08db82,karriere-at,ready,,Open
jobs_board_staging.csv,d33a130f99935d9e,karriere-at,ready,,Open
jobs_board_staging.csv,7281b8aec0e31f3c,karriere-at,ready,,Open
jobs_board_staging.csv,7e98f9b2f68de558,karriere-at,ready,,Open
jobs_board_staging.csv,b8e8e736f4178297,karriere-at,ready,,Open
jobs_board_staging.csv,eeaa39e7047c72f3,karriere-at,ready,,Open
jobs_board_staging.csv,195258288c1b5cda,karriere-at,ready,,Open
jobs_board_staging.csv,a10f08c62301ad5b,karriere-at,ready,,Open
jobs_board_staging.csv,cbd65125d234b518,karriere-at,ready,,Open
jobs_board_staging.csv,cfc33e00f076c4d9,karriere-at,ready,,Open
jobs_board_staging.csv,d361494736db8ffd,karriere-at,ready,,Open
jobs_board_staging.csv,4a7035d800cc4132,karriere-at,ready,,Open
jobs_board_staging.csv,86016cf0ceafea0c,karriere-at,ready,,Pass_language
jobs_board_staging.csv,5ffd3927cf8b04d6,karriere-at,ready,,Pass_language
jobs_board_staging.csv,91d334870c31a0b9,karriere-at,ready,,Open
jobs_board_staging.csv,aea0ecb010eb9901,karriere-at,ready,,Pass_language
jobs_board_staging.csv,405b9292509f111a,karriere-at,ready,,Open
jobs_board_staging.csv,83df7314ad5cd725,karriere-at,ready,,Open
jobs_board_staging.csv,cde7dd554223c3dc,karriere-at,ready,,Pass_language
jobs_board_staging.csv,ebcaced5fd3aa148,karriere-at,ready,,Open
jobs_board_staging.csv,bcf8bca26038db38,karriere-at,ready,,Open
jobs_board_staging.csv,36e51d7738deafab,karriere-at,ready,,Open
jobs_board_staging.csv,0de3855742b065fe,karriere-at,ready,,Open
jobs_board_staging.csv,955d0e7077689311,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,4d3f6322ed63590f,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,46f35907e6f18bc8,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,b81bf7837bb61f4f,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,fe47f8754b44b48f,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,5e47b64ce33b2fc6,stellenanzeigen-de,ready,,Pass_language
jobs_board_staging.csv,2a4d82dccd1a9fc2,stellenanzeigen-de,ready,,Pass_language
jobs_board_staging.csv,a631e5aff74f736f,stellenanzeigen-de,ready,,Pass_language
jobs_board_staging.csv,e83387d86dc327c1,stellenanzeigen-de,ready,,Pass_language
jobs_board_staging.csv,ad55ce21a80d9e54,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,bd8682afdcff57b6,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,bf710158b29a7fe6,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,786852c0ea53b51a,stellenanzeigen-de,ready,,Pass_language
jobs_board_staging.csv,b5dd2233f9c8c345,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,53fa1abfd81d4153,stellenanzeigen-de,ready,,Pass_language
jobs_board_staging.csv,e04c0d812f5411b1,stellenanzeigen-de,ready,,Pass_language
jobs_board_staging.csv,57ff31a0553014c3,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,1fb3cea9312b4d23,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,d746e22965f0e920,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,e2751fc30c9dd08d,stellenanzeigen-de,ready,,Open
jobs_board_staging.csv,abf16e994337a267,stellenanzeigen-de,ready,,Open
