checked_at,canonical_company_id,company,rating,source_file,source_id,adapter,career_url,execution_status,jobs_found,last_run_at,error,next_due
2026-08-31T10:06:52.497123+00:00,handelsbanken,Handelsbanken,,job_sources_financial_services.csv,handelsbanken-global,llm,https://www.handelsbanken.com/en/careers/vacancies,error,0,2026-08-31T10:12:31.387931+00:00,https://www.handelsbanken.com/en/careers/security: HTTPError,
2026-08-31T10:06:52.497123+00:00,natwest,NatWest Group,,job_sources_financial_services.csv,natwest-global,llm,https://jobs.natwestgroup.com/search/jobs,error,0,2026-08-31T10:12:35.434185+00:00,https://jobs.natwestgroup.com/search/jobs: HTTPError,
2026-08-31T10:06:52.497123+00:00,allianz-group,Allianz Group,,job_sources_financial_services.csv,allianz-group-global,generic,https://careers.allianz.com/global/en,zero_jobs,0,2026-08-31T10:12:35.581925+00:00,,
2026-08-31T10:06:52.497123+00:00,ebrd,European Bank for Reconstruction and Development,,job_sources_financial_services.csv,ebrd-global,generic,https://jobs.ebrd.com/,success,6,2026-08-31T10:12:58.520693+00:00,,
2026-08-31T10:06:52.497123+00:00,ap-moller-holding,A.P. Moller Holding,,job_sources_holdings.csv,ap-moller-holding-global,llm,https://apmoller.com/careers/,zero_jobs,0,2026-08-31T10:13:56.979704+00:00,,
2026-08-31T10:06:52.497123+00:00,lazard,Lazard,,job_sources_investment_banking.csv,lazard-global,generic,https://www.lazard.com/careers/,zero_jobs,0,2026-08-31T10:13:58.253771+00:00,,
2026-08-31T10:06:52.497123+00:00,nomura,Nomura,,job_sources_investment_banking.csv,nomura-global,generic,https://www.nomura.com/careers/,zero_jobs,0,2026-08-31T10:14:15.030862+00:00,,
2026-08-31T10:06:52.497123+00:00,columbia-threadneedle,Columbia Threadneedle Investments,,job_sources_public_markets.csv,columbia-threadneedle-global,workday,https://ameriprise.wd5.myworkdayjobs.com/Ameriprise,error,0,2026-08-31T10:14:39.061704+00:00,Workday listing: HTTPError: 502 Server Error: Bad Gateway for url: https://ameriprise.wd5.myworkdayjobs.com/wday/cxs/ameriprise/Ameriprise/jobs,
2026-08-31T10:06:52.497123+00:00,deutsche-boerse,Deutsche Börse Group,,job_sources_public_markets.csv,deutsche-boerse-global,generic,https://careers.deutsche-boerse.com/,success,14,2026-08-31T10:14:42.341303+00:00,,
2026-08-31T10:06:52.497123+00:00,millennium-management,Millennium Management,,job_sources_specialist_funds.csv,millennium-management-global,generic,https://www.mlp.com/careers/,zero_jobs,0,2026-08-31T10:15:21.268553+00:00,,
2026-08-31T10:06:52.497123+00:00,de-shaw,D. E. Shaw,,job_sources_specialist_funds.csv,de-shaw-global,generic,https://www.deshaw.com/careers,success,25,2026-08-31T10:15:23.208259+00:00,,
2026-08-31T10:06:53.777047+00:00,roland-berger,Roland Berger,,job_sources_consulting.csv,roland-berger-global,smartrecruiters,https://www.rolandberger.com/en/Join/All-Jobs/,zero_jobs,0,2026-08-31T10:06:53.777553+00:00,,
2026-08-31T10:06:53.777047+00:00,capco,Capco,,job_sources_consulting.csv,capco-global,greenhouse,https://job-boards.greenhouse.io/capco,success,55,2026-08-31T10:06:54.272879+00:00,,
2026-08-31T10:06:53.777047+00:00,capgemini-invent,Capgemini Invent,,job_sources_consulting.csv,capgemini-invent-global,generic,https://www.capgemini.com/careers/,zero_jobs,0,2026-08-31T10:06:54.863270+00:00,,
2026-08-31T10:06:53.777047+00:00,valcon,Valcon,,job_sources_consulting.csv,valcon-global,generic,https://valcon.com/careers/,zero_jobs,0,2026-08-31T10:07:13.649206+00:00,,
2026-08-31T10:06:53.777047+00:00,compass-lexecon,Compass Lexecon,,job_sources_consulting.csv,compass-lexecon-global,generic,https://www.compasslexecon.com/careers/,zero_jobs,0,2026-08-31T10:07:52.287493+00:00,,
2026-08-31T10:06:53.777047+00:00,simon-kucher,Simon-Kucher,,job_sources_consulting.csv,simon-kucher-global,generic,https://www.simon-kucher.com/en/careers,zero_jobs,0,2026-08-31T10:07:59.803743+00:00,,
2026-08-31T10:06:53.777047+00:00,bain-capital,Bain Capital,,job_sources_pe.csv,bain-capital-global,workday,https://baincapital.wd1.myworkdayjobs.com/External_Public,error,0,2026-08-31T10:08:31.306727+00:00,Workday listing: ValueError: Target Workday locations were not found,
2026-08-31T10:06:53.777047+00:00,fsn-capital,FSN Capital,,job_sources_pe.csv,fsn-capital-global,generic,https://www.fsncapital.com/careers,error,0,2026-08-31T10:08:31.954706+00:00,https://www.fsncapital.com/careers: HTTPError,
2026-08-31T10:06:53.777047+00:00,carlyle,Carlyle,,job_sources_pe.csv,carlyle-global,generic,https://www.carlyle.com/careers,error,0,2026-08-31T10:08:33.464894+00:00,https://www.carlyle.com/careers: HTTPError,
2026-08-31T10:06:53.777047+00:00,macquarie,Macquarie Group,,job_sources_pe.csv,macquarie-global,generic,https://www.macquarie.com/careers.html,zero_jobs,0,2026-08-31T10:08:33.580097+00:00,,
2026-08-31T10:06:53.777047+00:00,invesco,Invesco,,job_sources_pe.csv,invesco-global,generic,https://careers.invesco.com/,error,0,2026-08-31T10:08:49.103297+00:00,https://careers.invesco.com/author/nbowman/: HTTPError | https://careers.invesco.com/?page_id=1029: HTTPError,
2026-08-31T10:06:53.777047+00:00,eon,E.ON,,job_sources_corporate.csv,eon-global,llm,https://careers.eon.com/,zero_jobs,0,2026-08-31T10:09:22.981388+00:00,,
2026-08-31T10:06:53.777047+00:00,shell,Shell,,job_sources_corporate.csv,shell-global,workday,https://shell.wd3.myworkdayjobs.com/ShellCareers,zero_jobs,0,2026-08-31T10:10:08.061254+00:00,,
2026-08-31T10:06:53.777047+00:00,porsche,Porsche AG,,job_sources_corporate.csv,porsche-global,llm,https://jobs.porsche.com/index.php?ac=start,error,0,2026-08-31T10:10:15.968972+00:00,https://jobs.porsche.com/(!'uid=lang'): HTTPError,
2026-08-31T10:06:53.777047+00:00,abb,ABB,,job_sources_corporate.csv,abb-global,phenom,https://careers.abb/global/en/search-results,timeout,0,2026-08-31T10:10:54.797873+00:00,source exceeded per-company timeout,
2026-08-31T10:06:53.777047+00:00,novo-nordisk,Novo Nordisk,,job_sources_corporate.csv,novo-nordisk-global,successfactors,https://career2.successfactors.eu/careers?company=novonordisk,error,0,2026-08-31T10:12:44.812184+00:00,https://career2.successfactors.eu/sitemap.xml: HTTPError,
2026-08-31T10:06:53.777047+00:00,unilever,Unilever,,job_sources_corporate.csv,unilever-global,workday,https://unilever.wd3.myworkdayjobs.com/Unilever_Experienced_Professionals,zero_jobs,0,2026-08-31T10:12:45.338518+00:00,,
2026-08-31T10:06:53.777047+00:00,capgemini,Capgemini,,job_sources_corporate.csv,capgemini-global,llm,https://www.capgemini.com/careers/,zero_jobs,0,2026-08-31T10:12:54.213963+00:00,,
2026-08-31T10:06:53.777047+00:00,equinor,Equinor,,job_sources_corporate.csv,equinor-global,generic,https://www.equinor.com/careers,zero_jobs,0,2026-08-31T10:13:12.165674+00:00,,
2026-08-31T10:06:53.777047+00:00,bayernlb,BayernLB,,job_sources_financial_services.csv,bayernlb-global,llm,https://www.bayernlb.com/internet/en/blb/resp/career/career.jsp,error,0,2026-08-31T10:14:19.974510+00:00,https://www.bayernlb.com/internet/en/blb/resp/career/career.jsp: HTTPError,
